팀1이름,팀2이름,팀1점수,팀2점수
키움,NC,5,9
롯데,LG,6,10
KT,삼성,0,12
KIA,SK,3,4
두산,KT,4,5
NC,SK,9,5
롯데,LG,5,3
KIA,삼성,13,5
한화,키움,2,0
삼성,두산,4,3
NC,KIA,4,7
롯데,키움,7,5
LG,한화,9,5
KT,SK,6,5
키움,삼성,8,7
NC,롯데,1,5
LG,두산,9,6
KT,SK,5,0
한화,KIA,0,8
삼성,두산,6,3
NC,KIA,6,7
롯데,키움,3,4
LG,한화,7,1
KT,SK,6,4
키움,삼성,6,14
NC,롯데,7,2
LG,두산,5,6
KT,SK,10,2
한화,KIA,11,3
NC,롯데,6,2
삼성,두산,3,7
롯데,키움,2,3
LG,한화,9,7
KT,SK,5,3
키움,KIA,2,0
삼성,NC,2,3
SK,LG,2,7
두산,한화,1,5
KT,롯데,0,8
키움,KIA,13,1
삼성,NC,7,8
SK,LG,2,6
두산,한화,5,6
KT,롯데,10,5
삼성,KIA,4,5
SK,키움,1,2
두산,LG,18,10
롯데,KT,8,9
한화,NC,1,3
삼성,두산,0,1
SK,키움,1,6
롯데,한화,4,7
LG,NC,8,12
KIA,KT,5,3
삼성,KIA,3,6
SK,키움,3,9
두산,LG,8,2
롯데,KT,8,0
한화,NC,4,3
삼성,두산,4,3
SK,키움,8,6
롯데,한화,5,6
LG,NC,1,7
KIA,KT,3,7
삼성,KIA,12,5
SK,키움,2,7
두산,LG,3,1
롯데,KT,2,3
한화,NC,7,9
키움,LG,8,3
두산,SK,9,2
NC,KT,4,3
KIA,롯데,3,4
한화,삼성,4,11
키움,두산,0,4
SK,삼성,2,8
NC,한화,13,1
롯데,KIA,16,3
LG,KT,3,1
한화,삼성,2,3
키움,두산,7,3
SK,삼성,12,1
NC,한화,5,4
롯데,KIA,1,2
LG,KT,4,5
키움,두산,1,6
키움,LG,5,2
두산,SK,14,6
NC,KT,3,1
한화,삼성,9,2
NC,KT,6,19
키움,LG,8,5
두산,SK,0,7
삼성,롯데,6,4
NC,두산,9,3
LG,SK,0,7
KT,한화,4,7
KIA,키움,8,6
SK,NC,3,12
두산,한화,0,10
롯데,LG,3,5
KT,삼성,5,3
KIA,키움,3,2
SK,NC,2,10
두산,한화,4,12
롯데,LG,3,2
KT,삼성,6,7
KIA,키움,3,1
삼성,롯데,6,1
NC,두산,3,12
LG,SK,3,0
KT,한화,7,2
KIA,키움,0,2
키움,SK,12,5
삼성,NC,8,2
LG,KT,2,5
KIA,두산,3,14
한화,롯데,1,4
삼성,롯데,3,7
NC,두산,5,0
LG,SK,4,0
KT,한화,8,4
KIA,키움,0,1
키움,SK,3,9
삼성,NC,6,6
LG,KT,7,2
KIA,두산,2,7
한화,롯데,0,10
LG,KT,2,12
삼성,NC,2,12
SK,삼성,1,4
두산,키움,2,11
롯데,NC,10,8
KT,LG,3,4
SK,삼성,1,7
두산,키움,14,5
롯데,NC,2,6
KT,LG,11,5
한화,KIA,3,4
키움,SK,0,6
삼성,NC,1,4
LG,KT,13,8
KIA,두산,1,7
한화,롯데,5,14
SK,삼성,2,6
두산,키움,7,10
롯데,NC,7,9
KT,LG,4,3
한화,KIA,1,7
삼성,LG,3,2
두산,SK,9,4
NC,키움,1,2
KT,롯데,9,10
한화,KIA,3,2
키움,KT,2,3
SK,롯데,7,4
LG,삼성,7,9
KIA,NC,8,2
한화,두산,1,2
한화,KIA,4,6
삼성,LG,1,3
두산,SK,4,5
NC,키움,4,3
KT,롯데,9,6
한화,KIA,5,0
키움,KT,10,6
SK,롯데,4,10
LG,삼성,6,7
KIA,NC,2,9
한화,두산,6,2
삼성,LG,0,1
두산,SK,10,0
NC,키움,7,10
KT,롯데,6,5
한화,KIA,13,6
키움,KT,5,10
SK,롯데,6,3
LG,삼성,7,3
KIA,NC,6,7
한화,두산,4,7
키움,한화,6,7
SK,KIA,3,5
두산,KT,4,0
NC,LG,0,4
롯데,삼성,3,7
삼성,키움,13,2
NC,SK,5,4
롯데,한화,6,7
LG,두산,6,9
KT,KIA,8,2
NC,LG,0,5
키움,한화,3,0
SK,KIA,2,1
두산,KT,13,8
롯데,삼성,1,0
NC,LG,5,9
삼성,키움,6,7
NC,SK,2,3
롯데,한화,6,2
LG,두산,8,5
KT,KIA,7,4
키움,한화,3,9
SK,KIA,9,5
두산,KT,4,5
NC,LG,3,7
롯데,삼성,4,8
삼성,키움,2,4
NC,SK,8,2
롯데,한화,5,3
LG,두산,0,6
KT,KIA,4,10
키움,KT,3,7
SK,삼성,7,3
LG,롯데,2,17
KIA,NC,11,9
한화,두산,0,5
키움,KIA,8,9
삼성,KT,3,8
SK,한화,5,6
두산,롯데,10,5
NC,LG,12,2
키움,KT,5,3
SK,삼성,1,2
LG,롯데,0,3
KIA,NC,3,8
한화,두산,1,2
키움,KIA,3,8
삼성,KT,7,10
SK,한화,5,3
두산,롯데,4,5
NC,LG,6,6
키움,KT,4,0
SK,삼성,10,3
LG,롯데,6,2
KIA,NC,12,11
한화,두산,3,16
삼성,한화,6,2
두산,키움,4,7
롯데,NC,5,6
KT,SK,1,7
KIA,LG,0,9
키움,KIA,3,13
SK,한화,2,4
삼성,한화,4,4
두산,키움,3,5
롯데,NC,3,4
KT,SK,6,4
KIA,LG,8,11
삼성,한화,4,2
삼성,한화,5,4
두산,키움,8,2
롯데,NC,9,2
KT,SK,7,5
KIA,LG,4,0
SK,두산,12,7
NC,키움,1,5
LG,롯데,0,5
KIA,삼성,0,5
한화,KT,2,7
삼성,SK,12,2
두산,롯데,6,1
NC,KIA,13,3
LG,KT,7,6
SK,두산,2,7
NC,키움,4,7
LG,롯데,9,3
KIA,삼성,5,2
한화,KT,7,3
삼성,KT,1,2
롯데,SK,3,11
SK,두산,2,4
NC,키움,9,1
LG,롯데,10,15
KIA,삼성,7,8
한화,KT,1,4
롯데,SK,8,9
KT,두산,17,5
KIA,한화,10,4
키움,SK,9,12
두산,KIA,2,4
롯데,삼성,10,15
KT,NC,3,3
한화,LG,0,8
키움,두산,6,2
NC,한화,6,11
롯데,SK,3,0
LG,KIA,8,4
키움,SK,4,1
두산,KIA,6,0
롯데,삼성,2,5
KT,NC,1,6
한화,LG,1,3
삼성,KIA,11,7
롯데,두산,1,2
LG,NC,3,3
키움,SK,3,4
두산,KIA,8,4
롯데,삼성,2,1
KT,NC,2,8
한화,LG,2,6
삼성,KIA,1,10
롯데,KT,5,10
키움,두산,1,6
삼성,NC,5,6
롯데,SK,7,8
LG,KT,9,10
KIA,한화,10,2
삼성,NC,12,2
SK,롯데,0,1
KT,KIA,7,6
한화,두산,0,3
KIA,한화,2,1
NC,롯데,7,1
KT,KIA,3,4
한화,LG,7,6
두산,KIA,9,2
NC,롯데,11,4
KT,한화,12,1
SK,한화,7,4
NC,KT,3,2
롯데,키움,4,2
LG,두산,8,1
키움,두산,0,2
NC,삼성,4,4
LG,SK,2,3
KT,한화,3,4
KIA,롯데,2,13
삼성,KIA,2,8
NC,KT,2,6
롯데,키움,6,3
LG,두산,3,7
NC,KIA,3,4
삼성,KIA,5,8
SK,한화,7,4
NC,KT,4,5
롯데,키움,1,8
LG,두산,4,3
SK,한화,5,5
키움,LG,3,4
키움,두산,6,2
NC,롯데,9,11
LG,SK,24,7
LG,두산,0,4
LG,SK,11,6
한화,삼성,12,7
두산,LG,9,7
키움,두산,8,5
LG,SK,9,1
KT,KIA,4,1
한화,삼성,1,2
두산,KT,3,2
키움,삼성,10,3
SK,KT,1,11
두산,NC,7,10
KIA,롯데,3,2
한화,LG,2,1
두산,KT,4,1
키움,삼성,22,7
SK,KT,0,11
두산,NC,12,10
KIA,롯데,3,7
한화,LG,6,9
KT,두산,5,2
키움,삼성,4,2
두산,NC,7,4
KIA,롯데,0,8
KT,두산,0,2
두산,NC,3,5
삼성,두산,6,3
롯데,SK,8,0
LG,KIA,15,5
KT,키움,4,2
두산,NC,5,4
삼성,두산,2,2
NC,한화,5,8
LG,KIA,6,4
KT,키움,3,12
NC,두산,6,7
삼성,두산,2,5
NC,한화,4,1
롯데,SK,8,2
LG,KIA,1,13
KT,키움,2,3
NC,두산,3,0
삼성,SK,2,0
롯데,두산,8,4
LG,키움,5,2
두산,NC,0,5
삼성,SK,2,4
NC,KIA,2,3
롯데,두산,1,1
LG,키움,1,5
두산,NC,2,4
NC,KIA,8,1
LG,키움,1,2
KT,한화,6,3
키움,롯데,1,6
SSG,NC,3,11
LG,한화,2,3
KT,두산,4,2
KIA,삼성,7,10
SSG,롯데,3,10
LG,KT,3,9
KIA,NC,7,0
한화,두산,12,5
키움,삼성,5,5
SK,KT,1,6
두산,삼성,6,1
KIA,LG,8,4
한화,키움,7,5
키움,삼성,3,3
SSG,롯데,2,3
LG,KT,4,4
KIA,NC,11,1
한화,두산,4,3
SK,KT,11,2
두산,삼성,15,8
NC,롯데,4,8
KIA,LG,0,8
한화,키움,2,3
키움,NC,9,4
삼성,SSG,6,3
롯데,KIA,3,1
LG,두산,6,3
한화,KT,5,12
SK,KT,10,6
두산,삼성,2,3
NC,롯데,9,2
KIA,LG,2,4
한화,키움,3,6
키움,NC,7,7
삼성,SSG,10,10
두산,LG,7,3
롯데,KIA,4,9
한화,KT,6,5
키움,롯데,1,5
삼성,한화,10,1
SK,KIA,6,7
LG,NC,10,4
KT,두산,5,3
키움,KIA,3,1
삼성,LG,5,6
NC,KT,3,14
롯데,한화,0,2
키움,롯데,3,1
삼성,한화,2,0
SK,KIA,3,10
LG,NC,13,4
KT,두산,5,7
SSG,LG,1,2
키움,롯데,6,3
삼성,한화,2,3
SK,KIA,5,8
LG,NC,6,5
KT,두산,4,1
SSG,LG,3,2
키움,한화,2,9
두산,삼성,6,5
KT,KIA,6,3
NC,롯데,3,3
키움,NC,1,5
두산,롯데,9,2
KT,삼성,6,3
KIA,LG,5,6
한화,SK,3,9
삼성,키움,1,6
키움,NC,6,4
두산,롯데,3,7
KT,삼성,6,4
KIA,LG,1,10
한화,SK,6,26
삼성,키움,4,7
롯데,SSG,3,5
LG,NC,2,1
KIA,두산,1,4
한화,KT,2,3
삼성,SK,8,3
NC,KIA,14,2
롯데,두산,6,5
LG,키움,5,6
KT,한화,3,0
삼성,두산,3,6
롯데,NC,10,5
LG,KT,3,2
KIA,키움,5,4
한화,SSG,1,2
삼성,SK,6,8
NC,KIA,10,4
롯데,두산,0,1
LG,키움,7,3
KT,한화,1,5
삼성,두산,0,1
롯데,NC,6,10
LG,KT,3,7
KIA,키움,8,7
한화,SSG,17,0
두산,SK,8,1
롯데,삼성,5,3
KIA,키움,3,4
삼성,두산,6,1
롯데,NC,8,4
LG,KT,7,3
KIA,키움,5,3
한화,SSG,4,6
두산,SK,8,1
NC,KT,1,10
롯데,삼성,11,0
KIA,키움,8,7
한화,LG,4,3
키움,롯데,7,2
SSG,LG,5,9
두산,한화,0,7
NC,KIA,10,6
KT,삼성,5,7
NC,KT,1,8
한화,LG,6,3
SSG,LG,4,3
KT,삼성,6,7
키움,롯데,0,13
두산,한화,18,1
NC,KIA,9,2
키움,KT,4,1
SK,롯데,10,8
LG,삼성,3,4
KIA,두산,8,10
한화,NC,3,11
키움,롯데,3,2
SSG,LG,0,1
두산,한화,2,3
NC,KIA,7,3
KT,삼성,2,4
키움,KT,5,6
SK,롯데,1,3
LG,삼성,8,5
KIA,두산,7,5
한화,NC,5,9
NC,SSG,4,2
롯데,KIA,8,0
LG,키움,2,8
KT,두산,8,7
한화,삼성,3,4
키움,롯데,11,6
삼성,한화,0,7
두산,NC,2,8
KT,LG,0,2
KIA,SK,4,10
NC,SSG,3,0
롯데,KIA,2,3
LG,키움,13,2
KT,두산,1,3
한화,삼성,6,2
키움,롯데,8,4
두산,NC,11,4
KT,LG,5,6
KIA,SK,11,8
NC,SSG,3,9
롯데,KIA,5,10
LG,키움,6,4
KT,두산,8,3
한화,삼성,0,4
삼성,키움,5,4
SK,NC,5,9
한화,롯데,7,9
키움,KT,4,8
삼성,롯데,3,9
두산,LG,0,1
KIA,SSG,11,6
한화,NC,1,9
KT,KIA,8,5
두산,LG,5,5
삼성,키움,2,3
SK,NC,4,7
한화,롯데,2,6
두산,LG,1,4
KT,KIA,5,7
KIA,SSG,3,4
키움,KT,5,8
삼성,롯데,12,0
두산,LG,3,1
한화,NC,4,14
삼성,KIA,0,6
NC,키움,5,2
롯데,KT,2,11
LG,SK,13,5
한화,두산,0,4
키움,KT,2,10
삼성,롯데,7,0
두산,LG,9,1
KIA,SSG,2,4
한화,NC,11,3
NC,키움,4,6
키움,한화,3,7
SSG,삼성,10,7
두산,롯데,5,10
KT,NC,5,2
KIA,LG,6,3
키움,한화,6,5
SK,KT,2,6
두산,삼성,10,11
NC,LG,5,6
KIA,롯데,4,3
키움,한화,3,4
SSG,삼성,4,14
두산,롯데,9,10
KT,NC,3,4
KIA,LG,3,7
SK,KT,2,10
KIA,롯데,6,3
키움,한화,1,7
SK,KT,5,7
두산,삼성,5,12
NC,LG,5,5
KIA,롯데,7,9
키움,한화,8,3
SSG,삼성,11,6
두산,롯데,13,1
KT,NC,11,5
KIA,LG,3,2
SK,두산,1,5
KT,키움,8,1
KIA,한화,5,4
삼성,KIA,1,4
SSG,키움,9,5
NC,두산,1,5
롯데,KT,10,5
LG,한화,2,1
SK,두산,0,10
NC,삼성,3,5
LG,롯데,7,1
KT,키움,8,7
KIA,한화,8,4
SSG,키움,5,4
LG,한화,5,19
삼성,KIA,8,4
NC,두산,6,9
롯데,KT,4,2
LG,롯데,6,12
삼성,KIA,3,2
SSG,키움,3,4
NC,두산,10,0
롯데,KT,5,6
LG,한화,8,0
키움,SK,16,15
롯데,NC,2,14
LG,KIA,2,3
KT,두산,0,8
한화,삼성,4,2
두산,키움,4,5
NC,삼성,0,9
롯데,LG,0,4
KT,SSG,14,5
한화,KIA,3,4
한화,삼성,4,4
키움,SK,13,4
롯데,NC,7,5
KT,두산,4,2
한화,삼성,7,0
두산,키움,4,5
NC,삼성,3,4
롯데,LG,3,0
KT,SSG,2,4
한화,KIA,0,4
키움,LG,1,6
삼성,롯데,8,13
SK,한화,5,1
두산,KIA,5,4
KT,NC,8,13
두산,키움,15,4
NC,삼성,9,0
롯데,LG,2,3
KT,SSG,6,1
한화,KIA,2,3
키움,LG,8,2
삼성,롯데,4,12
SK,한화,4,3
KT,NC,1,9
SSG,두산,4,9
LG,삼성,0,4
KIA,KT,3,15
한화,롯데,11,7
키움,NC,4,3
삼성,LG,5,1
두산,키움,0,2
롯데,SK,1,2
KIA,NC,11,3
한화,KT,2,5
키움,NC,13,9
SSG,두산,5,2
LG,삼성,2,8
KIA,KT,0,3
한화,롯데,11,3
삼성,LG,11,0
두산,키움,6,6
롯데,SK,1,3
KIA,NC,4,3
한화,KT,4,5
키움,NC,0,5
SSG,두산,5,8
LG,삼성,4,6
KIA,KT,2,9
한화,롯데,5,4
삼성,KT,7,0
SK,KIA,16,1
NC,두산,3,7
롯데,키움,8,5
LG,한화,5,6
삼성,KT,6,11
SK,KIA,7,6
NC,두산,5,3
롯데,키움,8,2
LG,한화,11,5
삼성,한화,4,1
SSG,NC,13,12
LG,두산,7,4
KT,키움,0,14
KIA,롯데,8,5
두산,KT,0,3
NC,SK,3,0
롯데,LG,1,9
KIA,삼성,12,2
한화,키움,2,5
삼성,한화,5,6
SSG,NC,1,7
LG,두산,7,2
KT,키움,4,6
KIA,롯데,9,17
두산,KT,4,5
NC,SK,9,5
롯데,LG,5,3
KIA,삼성,13,5
한화,키움,2,0
롯데,삼성,1,4
키움,삼성,8,7
NC,롯데,1,5
LG,두산,9,6
KT,SK,5,0
한화,KIA,0,8
키움,SSG,9,2
두산,KIA,11,5
NC,KT,5,4
롯데,삼성,9,8
한화,LG,2,11
키움,삼성,6,14
NC,롯데,7,2
LG,두산,5,6
KT,SK,10,2
한화,KIA,11,3
NC,롯데,6,2
키움,SSG,1,4
두산,KIA,5,3
NC,KT,16,11
롯데,삼성,6,8
한화,LG,1,11
키움,SSG,3,4
한화,LG,5,4
두산,KIA,9,0
NC,KT,5,9
키움,KIA,2,0
삼성,NC,2,3
SK,LG,2,7
두산,한화,1,5
KT,롯데,0,8
키움,두산,2,3
삼성,KT,6,9
SSG,롯데,7,6
NC,한화,7,2
LG,KIA,1,7
키움,KIA,13,1
삼성,NC,7,8
SK,LG,2,6
두산,한화,5,6
KT,롯데,10,5
키움,두산,3,0
삼성,KT,7,5
SSG,롯데,9,2
NC,한화,6,3
LG,KIA,3,5
삼성,두산,0,1
SK,키움,1,6
롯데,한화,4,7
LG,NC,8,12
KIA,KT,5,3
키움,두산,14,13
삼성,KT,4,0
SSG,롯데,4,5
NC,한화,4,2
LG,KIA,8,3
삼성,두산,4,3
SK,키움,8,6
롯데,한화,5,6
LG,NC,1,7
KIA,KT,3,7
삼성,LG,3,4
두산,SSG,6,3
KT,롯데,9,1
한화,키움,6,1
KIA,NC,2,5
키움,두산,0,4
SK,삼성,2,8
NC,한화,13,1
롯데,KIA,16,3
LG,KT,3,1
KIA,NC,3,7
한화,키움,1,15
삼성,LG,4,14
KT,롯데,5,4
키움,두산,7,3
SK,삼성,12,1
NC,한화,5,4
롯데,KIA,1,2
LG,KT,4,5
키움,두산,1,6
한화,키움,1,5
SK,NC,0,3
두산,한화,7,3
롯데,LG,8,5
KT,삼성,4,1
KIA,키움,10,6
삼성,LG,3,1
두산,SSG,8,3
SK,NC,3,12
두산,한화,0,10
롯데,LG,3,5
KT,삼성,5,3
KIA,키움,3,2
키움,삼성,15,3
SSG,KIA,7,5
두산,KT,0,1
NC,LG,0,1
롯데,한화,4,3
SK,NC,2,10
두산,한화,4,12
롯데,LG,3,2
KT,삼성,6,7
KIA,키움,3,1
키움,삼성,9,2
SSG,KIA,11,5
두산,KT,5,6
NC,LG,5,6
롯데,한화,2,12
키움,SK,12,5
삼성,NC,8,2
LG,KT,2,5
KIA,두산,3,14
한화,롯데,1,4
NC,LG,11,1
키움,SK,3,9
삼성,NC,6,6
LG,KT,7,2
KIA,두산,2,7
한화,롯데,0,10
LG,KT,2,12
삼성,NC,2,12
NC,키움,0,2
롯데,두산,9,1
LG,SSG,5,6
KT,한화,0,4
KIA,삼성,3,5
키움,SK,0,6
삼성,NC,1,4
LG,KT,13,8
KIA,두산,1,7
한화,롯데,5,14
NC,키움,6,13
롯데,두산,3,4
LG,SSG,3,8
KT,한화,0,5
KIA,삼성,9,4
삼성,LG,3,2
두산,SK,9,4
NC,키움,1,2
KT,롯데,9,10
한화,KIA,3,2
NC,키움,4,7
롯데,두산,0,4
LG,SSG,0,8
KT,한화,8,1
KIA,삼성,5,7
한화,KIA,4,6
삼성,LG,1,3
두산,SK,4,5
NC,키움,4,3
KT,롯데,9,6
한화,KIA,5,0
삼성,LG,0,1
두산,SK,10,0
NC,키움,7,10
KT,롯데,6,5
한화,KIA,13,6
키움,KIA,2,3
삼성,NC,7,1
SSG,KT,9,5
LG,롯데,5,3
한화,두산,3,9
키움,한화,6,7
SK,KIA,3,5
두산,KT,4,0
NC,LG,0,4
롯데,삼성,3,7
키움,KIA,4,5
삼성,NC,3,6
SSG,KT,5,6
LG,롯데,8,1
한화,두산,3,0
NC,LG,0,5
키움,한화,3,0
SK,KIA,2,1
두산,KT,13,8
롯데,삼성,1,0
NC,LG,5,9
키움,LG,1,3
SSG,한화,12,3
두산,삼성,9,4
KT,KIA,6,7
키움,한화,3,9
SK,KIA,9,5
두산,KT,4,5
NC,LG,3,7
롯데,삼성,4,8
NC,롯데,10,10
키움,LG,7,2
SSG,한화,6,2
두산,삼성,4,16
KT,KIA,7,5
NC,롯데,6,2
키움,KT,3,7
SK,삼성,7,3
LG,롯데,2,17
KIA,NC,11,9
한화,두산,0,5
키움,LG,2,8
SSG,한화,5,1
두산,삼성,4,2
NC,롯데,5,4
KT,KIA,4,3
키움,KT,5,3
SK,삼성,1,2
LG,롯데,0,3
KIA,NC,3,8
한화,두산,1,2
삼성,SSG,0,1
두산,NC,4,3
롯데,키움,3,0
KT,LG,8,1
KIA,한화,1,9
키움,KT,4,0
SK,삼성,10,3
LG,롯데,6,2
KIA,NC,12,11
한화,두산,3,16
삼성,SSG,8,7
두산,NC,5,9
롯데,키움,4,2
KT,LG,5,6
KIA,한화,5,3
삼성,한화,6,2
두산,키움,4,7
롯데,NC,5,6
KT,SK,1,7
KIA,LG,0,9
롯데,키움,4,9
삼성,한화,4,4
두산,키움,3,5
롯데,NC,3,4
KT,SK,6,4
KIA,LG,8,11
삼성,한화,4,2
삼성,키움,6,3
SSG,두산,2,3
롯데,KT,15,0
LG,KIA,3,4
한화,NC,3,6
삼성,한화,5,4
두산,키움,8,2
롯데,NC,9,2
KT,SK,7,5
KIA,LG,4,0
삼성,키움,2,6
SSG,두산,5,8
롯데,KT,1,8
LG,KIA,8,2
한화,NC,1,6
삼성,SK,12,2
두산,롯데,6,1
NC,KIA,13,3
LG,KT,7,6
삼성,키움,3,1
SSG,두산,4,1
롯데,KT,8,7
LG,KIA,10,0
한화,NC,13,10
삼성,KT,1,2
롯데,SK,3,11
키움,한화,2,4
두산,롯데,9,18
NC,LG,1,2
KT,SSG,4,2
KIA,삼성,0,7
롯데,SK,8,9
KT,두산,17,5
KIA,한화,10,4
키움,한화,6,2
두산,롯데,14,8
NC,LG,3,6
KT,SSG,7,3
KIA,삼성,7,5
키움,두산,6,2
NC,한화,6,11
롯데,SK,3,0
LG,KIA,8,4
키움,한화,0,1
두산,롯데,4,5
NC,LG,6,0
KIA,삼성,2,4
삼성,KIA,11,7
롯데,두산,1,2
LG,NC,3,3
키움,SSG,6,8
두산,LG,1,3
NC,삼성,5,4
한화,KT,5,6
삼성,KIA,1,10
롯데,KT,5,10
키움,SSG,4,5
두산,LG,8,3
NC,삼성,1,4
한화,KT,2,7
삼성,NC,12,2
SK,롯데,0,1
KT,KIA,7,6
한화,두산,0,3
KIA,롯데,6,8
키움,SSG,7,3
두산,LG,0,2
NC,삼성,3,5
한화,KT,3,6
KIA,롯데,6,3
NC,롯데,7,1
KT,KIA,3,4
한화,LG,7,6
삼성,두산,8,6
롯데,한화,2,3
LG,키움,4,2
두산,KIA,9,2
NC,롯데,11,4
KT,한화,12,1
SSG,KIA,10,1
롯데,한화,4,9
삼성,두산,5,3
LG,키움,3,6
KT,NC,7,3
SSG,KIA,0,2
롯데,한화,3,4
키움,두산,0,2
NC,삼성,4,4
LG,SK,2,3
KT,한화,3,4
KIA,롯데,2,13
삼성,두산,2,6
SSG,KIA,6,3
롯데,한화,9,2
LG,키움,6,5
KT,NC,1,9
NC,KIA,3,4
삼성,롯데,4,7
SSG,한화,3,4
두산,KT,11,3
KIA,LG,0,5
키움,NC,0,5
두산,KT,9,3
키움,NC,12,7
삼성,롯데,9,1
SSG,한화,7,5
KIA,LG,2,7
두산,KT,3,4
키움,LG,3,4
키움,NC,8,4
삼성,롯데,7,8
SSG,한화,4,3
두산,KT,1,4
KIA,LG,0,6
LG,두산,0,4
키움,두산,3,10
NC,롯데,5,2
LG,SSG,14,1
KIA,KT,3,6
한화,삼성,0,9
두산,LG,9,7
키움,두산,4,3
NC,롯데,7,13
LG,SSG,4,7
KIA,KT,2,1
한화,삼성,0,3
두산,KT,3,2
키움,두산,2,1
NC,롯데,6,4
LG,SSG,5,8
KIA,KT,3,6
한화,삼성,2,3
두산,KT,4,1
롯데,두산,9,1
KT,한화,2,0
KIA,키움,5,14
SSG,NC,10,11
KT,두산,5,2
LG,삼성,10,5
SSG,NC,10,10
롯데,두산,4,3
KT,한화,11,2
KIA,키움,1,6
LG,삼성,7,10
KT,두산,0,2
SSG,NC,3,4
LG,삼성,9,5
KT,한화,11,1
KIA,키움,4,5
두산,NC,3,5
삼성,SSG,3,10
NC,KIA,7,3
롯데,키움,13,5
두산,NC,5,4
삼성,SSG,3,3
두산,한화,8,6
롯데,키움,5,6
KT,LG,4,3
삼성,SSG,4,8
NC,두산,6,7
삼성,SSG,8,7
두산,한화,10,3
NC,KIA,3,6
롯데,키움,1,13
KT,LG,6,1
NC,두산,3,0
키움,KT,1,4
두산,KIA,3,8
롯데,SSG,6,5
한화,LG,5,3
삼성,NC,5,2
두산,NC,0,5
두산,NC,2,4
키움,KT,3,12
삼성,NC,5,0
두산,KIA,3,7
롯데,SSG,6,4
한화,LG,0,5
키움,롯데,1,6
SSG,NC,3,11
LG,한화,2,3
KT,두산,4,2
KIA,삼성,7,10
키움,KT,15,5
롯데,SSG,4,10
한화,LG,6,7
SSG,롯데,3,10
LG,KT,3,9
KIA,NC,7,0
한화,두산,12,5
키움,삼성,5,5
SSG,키움,0,4
NC,두산,7,3
키움,삼성,3,3
SSG,롯데,2,3
LG,KT,4,4
KIA,NC,11,1
한화,두산,4,3
SSG,키움,2,8
NC,두산,2,4
KIA,한화,4,1
키움,NC,9,4
삼성,SSG,6,3
롯데,KIA,3,1
LG,두산,6,3
한화,KT,5,12
SSG,키움,9,3
KT,삼성,3,2
키움,NC,7,7
삼성,SSG,10,10
두산,LG,7,3
롯데,KIA,4,9
한화,KT,6,5
롯데,삼성,9,5
KT,KIA,4,10
한화,SSG,9,3
키움,KIA,3,1
삼성,LG,5,6
NC,KT,3,14
롯데,한화,0,2
롯데,삼성,2,3
한화,SSG,3,1
SSG,LG,1,2
롯데,삼성,0,11
KT,KIA,0,2
한화,SSG,2,8
SSG,LG,3,2
키움,한화,2,9
두산,삼성,6,5
KT,KIA,6,3
NC,롯데,3,3
삼성,키움,1,6
삼성,키움,4,7
롯데,SSG,3,5
LG,NC,2,1
KIA,두산,1,4
한화,KT,2,3
삼성,두산,3,6
롯데,NC,10,5
LG,KT,3,2
KIA,키움,5,4
한화,SSG,1,2
삼성,두산,0,1
롯데,NC,6,10
LG,KT,3,7
KIA,키움,8,7
한화,SSG,17,0
삼성,두산,6,1
롯데,NC,8,4
LG,KT,7,3
KIA,키움,5,3
한화,SSG,4,6
키움,롯데,7,2
SSG,LG,5,9
두산,한화,0,7
NC,KIA,10,6
KT,삼성,5,7
SSG,LG,0,4
롯데,NC,5,2
KT,키움,1,3
한화,KIA,1,4
SSG,LG,4,3
KT,삼성,6,7
키움,롯데,0,13
두산,한화,18,1
NC,KIA,9,2
SSG,LG,5,12
두산,삼성,8,6
롯데,NC,5,4
KT,키움,1,4
한화,KIA,7,7
키움,롯데,3,2
SSG,LG,0,1
두산,한화,2,3
NC,KIA,7,3
KT,삼성,2,4
두산,삼성,2,9
롯데,NC,4,5
KT,키움,4,6
NC,SSG,4,2
롯데,KIA,8,0
LG,키움,2,8
KT,두산,8,7
한화,삼성,3,4
삼성,KT,6,7
두산,키움,16,9
NC,한화,5,1
롯데,LG,2,0
KIA,SSG,8,1
NC,SSG,3,0
롯데,KIA,2,3
LG,키움,13,2
KT,두산,1,3
한화,삼성,6,2
삼성,KT,4,8
두산,키움,1,5
NC,한화,9,9
롯데,LG,4,3
KIA,SSG,2,2
NC,SSG,3,9
롯데,KIA,5,10
LG,키움,6,4
KT,두산,8,3
한화,삼성,0,4
삼성,KT,4,6
두산,키움,1,8
NC,한화,3,3
롯데,LG,1,7
KIA,SSG,5,10
키움,KT,4,8
삼성,롯데,3,9
두산,LG,0,1
KIA,SSG,11,6
한화,NC,1,9
키움,롯데,0,1
삼성,한화,2,4
LG,KT,5,5
KIA,SSG,3,4
키움,KT,5,8
삼성,롯데,12,0
두산,LG,3,1
한화,NC,4,14
키움,롯데,0,3
삼성,한화,6,2
NC,SSG,1,6
LG,KT,1,8
KIA,두산,7,3
키움,KT,2,10
삼성,롯데,7,0
두산,LG,9,1
KIA,SSG,2,4
한화,NC,11,3
삼성,한화,11,3
NC,SSG,8,5
LG,KT,1,0
KIA,두산,5,5
키움,한화,3,7
SSG,삼성,10,7
두산,롯데,5,10
KT,NC,5,2
KIA,LG,6,3
